332,RandomHusPlayer,260549558,1,260549558,48,game00332.log,
333,260549558,RandomHusPlayer,0,260549558,28,game00333.log,
334,260549558,RandomHusPlayer,0,260549558,28,game00334.log,
335,RandomHusPlayer,260549558,1,260549558,48,game00335.log,
336,260549558,RandomHusPlayer,0,260549558,28,game00336.log,
337,260549558,RandomHusPlayer,1,RandomHusPlayer,22,game00337.log,
338,RandomHusPlayer,260549558,0,RandomHusPlayer,24,game00338.log,
339,260549558,RandomHusPlayer,1,RandomHusPlayer,22,game00339.log,
340,RandomHusPlayer,260549558,0,RandomHusPlayer,24,game00340.log,
341,260549558,RandomHusPlayer,1,RandomHusPlayer,22,game00341.log,
342,RandomHusPlayer,260549558,0,RandomHusPlayer,24,game00342.log,
343,260549558,RandomHusPlayer,1,RandomHusPlayer,22,game00343.log,
344,RandomHusPlayer,260549558,0,RandomHusPlayer,24,game00344.log,
345,260549558,RandomHusPlayer,1,RandomHusPlayer,22,game00345.log,
346,RandomHusPlayer,260549558,0,RandomHusPlayer,24,game00346.log,
347,260549558,RandomHusPlayer,1,RandomHusPlayer,22,game00347.log,
348,RandomHusPlayer,260549558,0,RandomHusPlayer,24,game00348.log,
349,260549558,RandomHusPlayer,1,RandomHusPlayer,22,game00349.log,
350,260549558,RandomHusPlayer,1,RandomHusPlayer,22,game00350.log,
351,260549558,RandomHusPlayer,1,RandomHusPlayer,28,game00351.log,
352,260549558,RandomHusPlayer,1,RandomHusPlayer,28,game00352.log,
353,260549558,RandomHusPlayer,1,RandomHusPlayer,20,game00353.log,
354,260549558,RandomHusPlayer,1,RandomHusPlayer,20,game00354.log,
355,260549558,RandomHusPlayer,1,RandomHusPlayer,17,game00355.log,
356,260549558,RandomHusPlayer,1,RandomHusPlayer,17,game00356.log,
357,260549558,RandomHusPlayer,1,RandomHusPlayer,17,game00357.log,
358,260549558,RandomHusPlayer,1,RandomHusPlayer,17,game00358.log,
359,260549558,RandomHusPlayer,1,RandomHusPlayer,17,game00359.log,
360,260549558,RandomHusPlayer,1,RandomHusPlayer,14,game00360.log,
361,260549558,RandomHusPlayer,1,RandomHusPlayer,23,game00361.log,
362,260549558,RandomHusPlayer,1,RandomHusPlayer,23,game00362.log,
363,260549558,RandomHusPlayer,1,RandomHusPlayer,23,game00363.log,
364,260549558,RandomHusPlayer,1,RandomHusPlayer,23,game00364.log,
365,260549558,RandomHusPlayer,1,RandomHusPlayer,14,game00365.log,
366,260549558,RandomHusPlayer,1,RandomHusPlayer,23,game00366.log,
367,260549558,RandomHusPlayer,1,RandomHusPlayer,10,game00367.log,
368,260549558,RandomHusPlayer,1,RandomHusPlayer,10,game00368.log,
369,260549558,RandomHusPlayer,1,RandomHusPlayer,10,game00369.log,
370,260549558,RandomHusPlayer,1,RandomHusPlayer,24,game00370.log,
371,260549558,RandomHusPlayer,1,RandomHusPlayer,22,game00371.log,
372,260549558,RandomHusPlayer,1,RandomHusPlayer,28,game00372.log,
373,260549558,RandomHusPlayer,1,RandomHusPlayer,20,game00373.log,
374,260549558,RandomHusPlayer,1,RandomHusPlayer,20,game00374.log,
375,260549558,RandomHusPlayer,1,RandomHusPlayer,20,game00375.log,
376,260549558,RandomHusPlayer,1,RandomHusPlayer,17,game00376.log,
377,260549558,RandomHusPlayer,1,RandomHusPlayer,17,game00377.log,
378,260549558,RandomHusPlayer,1,RandomHusPlayer,17,game00378.log,
379,260549558,RandomHusPlayer,1,RandomHusPlayer,17,game00379.log,
380,260549558,RandomHusPlayer,1,RandomHusPlayer,14,game00380.log,
381,260549558,RandomHusPlayer,1,RandomHusPlayer,23,game00381.log,
382,260549558,RandomHusPlayer,1,RandomHusPlayer,23,game00382.log,
383,260549558,RandomHusPlayer,1,RandomHusPlayer,23,game00383.log,
384,260549558,RandomHusPlayer,1,RandomHusPlayer,23,game00384.log,
385,260549558,RandomHusPlayer,1,RandomHusPlayer,23,game00385.log,
386,260549558,RandomHusPlayer,1,RandomHusPlayer,10,game00386.log,
387,260549558,RandomHusPlayer,1,RandomHusPlayer,10,game00387.log,
388,260549558,RandomHusPlayer,1,RandomHusPlayer,10,game00388.log,
389,260549558,RandomHusPlayer,1,RandomHusPlayer,10,game00389.log,
390,260549558,RandomHusPlayer,1,RandomHusPlayer,24,game00390.log,
391,260549558,RandomHusPlayer,1,RandomHusPlayer,24,game00391.log,
392,260549558,RandomHusPlayer,1,RandomHusPlayer,22,game00392.log,
393,260549558,RandomHusPlayer,1,RandomHusPlayer,28,game00393.log,
394,260549558,RandomHusPlayer,1,RandomHusPlayer,20,game00394.log,
395,260549558,RandomHusPlayer,1,RandomHusPlayer,20,game00395.log,
396,260549558,RandomHusPlayer,1,RandomHusPlayer,17,game00396.log,
397,260549558,RandomHusPlayer,1,RandomHusPlayer,17,game00397.log,
398,260549558,RandomHusPlayer,1,RandomHusPlayer,17,game00398.log,
399,260549558,RandomHusPlayer,1,RandomHusPlayer,17,game00399.log,
400,260549558,RandomHusPlayer,1,RandomHusPlayer,14,game00400.log,
402,260549558,RandomHusPlayer,1,RandomHusPlayer,11,game00402.log,
403,RandomHusPlayer,260549558,0,RandomHusPlayer,16,game00403.log,
404,260549558,RandomHusPlayer,1,RandomHusPlayer,11,game00404.log,
405,260549558,RandomHusPlayer,1,RandomHusPlayer,14,game00405.log,
406,260549558,RandomHusPlayer,1,RandomHusPlayer,11,game00406.log,
407,260549558,RandomHusPlayer,1,RandomHusPlayer,13,game00407.log,
408,260549558,RandomHusPlayer,1,RandomHusPlayer,11,game00408.log,
409,260549558,RandomHusPlayer,1,RandomHusPlayer,14,game00409.log,
410,260549558,RandomHusPlayer,1,RandomHusPlayer,22,game00410.log,
411,260549558,RandomHusPlayer,1,RandomHusPlayer,28,game00411.log,
412,260549558,RandomHusPlayer,1,RandomHusPlayer,28,game00412.log,
413,RandomHusPlayer,260549558,0,RandomHusPlayer,24,game00413.log,
414,260549558,RandomHusPlayer,1,RandomHusPlayer,22,game00414.log,
415,260549558,RandomHusPlayer,1,RandomHusPlayer,28,game00415.log,
416,260549558,RandomHusPlayer,1,RandomHusPlayer,28,game00416.log,
417,260549558,RandomHusPlayer,1,RandomHusPlayer,20,game00417.log,
418,260549558,RandomHusPlayer,1,RandomHusPlayer,20,game00418.log,
419,260549558,RandomHusPlayer,1,RandomHusPlayer,17,game00419.log,
420,260549558,RandomHusPlayer,1,RandomHusPlayer,17,game00420.log,
